geoid,name,population,value,percentile,t_percentile,fips
06037211320,2113.2,3337,58.758335,.43564737,43.564735,06037211320
06095251100,2511,3124,59.708332,.44488645,44.488644,06095251100
06059032030,320.29999,3971,16.174999,.196715,19.671499,06059032030
06001435602,4356.02,5453,13.541667,.17060181,17.060181,06001435602
06037239602,2396.02,4016,19.799999,.22359811,22.35981,06037239602
06071007305,73.050003,4909,151.85834,.96394199,96.394196,06071007305
06077005132,51.32,3141,119.5,.68920827,68.92083,06077005132
06037573202,5732.02,6379,41.674999,.34402668,34.402668,06037573202
06073018100,181,6114,7.9000001,.075388171,7.5388169,06073018100
06037124300,1243,2988,78.558334,.49262157,49.262157,06037124300
06037555102,5551.02,5987,47.650002,.38354933,38.354935,06037555102
06065044931,449.31,2093,209.35834,.99024767,99.024765,06065044931
06007001300,13,3689,131.88333,.80982935,80.982933,06007001300
06037620800,6208,7844,9.3166666,.10798153,10.798153,06037620800
06037570304,5703.04,5094,38.716667,.3276017,32.76017,06037570304
06063000201,2.01,1359,65.60833,.46220967,46.220966,06063000201
06065042514,425.14001,3467,131.45,.8081612,80.816116,06065042514
06037127803,1278.03,4790,105.85833,.6079815,60.798149,06037127803
06059074408,744.08002,6300,47.241665,.37969974,37.969975,06059074408
06037269602,2696.02,2865,10.691667,.1347363,13.47363,06037269602
06037550500,5505,8316,102.5,.58732194,58.732193,06037550500
06079011102,111.02,5784,21.15,.23662262,23.662262,06079011102
06037576601,5766.0098,4293,40.891666,.3348518,33.48518,06037576601
06059075806,758.06,6273,50.150002,.39824203,39.824203,06059075806
06037532500,5325,4195,44.299999,.36430129,36.43013,06037532500
06037132700,1327,4873,127.43333,.77973825,77.973824,06037132700
06071002703,27.030001,5670,130.03334,.8010394,80.103943,06071002703
06001450745,4507.4502,6712,92.958336,.55383039,55.383038,06001450745
06037530602,5306.02,1769,101.36667,.5824458,58.244579,06037530602
06085503336,5033.3599,3580,53.116665,.40254074,40.254074,06085503336
06037216402,2164.02,2521,14.175,.17310406,17.310406,06037216402
06001444400,4444,5477,18.291666,.21243423,21.243423,06001444400
06037213310,2133.1001,3015,36.275002,.31342229,31.34223,06037213310
06073014806,148.06,2778,49.5,.39458489,39.458488,06073014806
06019005409,54.09,3328,143.51666,.90837932,90.837929,06019005409
06009000300,3,7496,124.25833,.74015141,74.015137,06009000300
06085512508,5125.0801,8351,64.400002,.46002823,46.002823,06085512508
06017031402,314.01999,5889,119.6,.68972152,68.972153,06017031402
